Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:38:06,969;-77
19:38:07,000;-75
19:38:07,031;-74
19:38:07,062;-74
19:38:07,094;-74
19:38:07,125;-74
19:38:07,156;-75
19:38:07,187;-76
19:38:07,219;-77
19:38:07,250;-78
19:38:07,281;-80
19:38:07,312;-81
19:38:07,344;-82
19:38:07,375;-83
19:38:07,406;-84
19:38:07,437;-84
19:38:07,469;-84
19:38:07,500;-84
19:38:07,531;-83
19:38:07,562;-81
19:38:07,594;-78
19:38:07,625;-76
19:38:07,656;-72
19:38:07,687;-68
19:38:07,719;-64
19:38:07,750;-59
19:38:07,781;-54
19:38:07,812;-49
19:38:07,844;-43
19:38:07,875;-38
19:38:07,906;-32
19:38:07,938;-27
19:38:07,969;-22
19:38:08,000;-17
19:38:08,031;-12
19:38:08,062;-8
19:38:08,094;-4
19:38:08,125;0
19:38:08,156;3
19:38:08,188;6
19:38:08,219;9
19:38:08,250;11
19:38:08,281;13
19:38:08,312;15
19:38:08,344;16
19:38:08,375;18
19:38:08,406;19
19:38:08,438;20
19:38:08,469;21
19:38:08,500;23
19:38:08,531;24
19:38:08,562;26
19:38:08,594;28
19:38:08,625;29
19:38:08,656;31
19:38:08,687;33
19:38:08,719;36
19:38:08,750;38
19:38:08,781;41
19:38:08,812;43
19:38:08,844;46
19:38:08,875;48
19:38:08,906;50
19:38:08,937;52
19:38:08,969;54
19:38:09,000;56
19:38:09,031;58
19:38:09,062;59
19:38:09,094;60
19:38:09,125;60
19:38:09,156;61
19:38:09,187;61
19:38:09,219;60
19:38:09,250;60
19:38:09,281;59
19:38:09,312;58
19:38:09,344;57
19:38:09,375;55
19:38:09,406;54
19:38:09,437;53
19:38:09,469;52
19:38:09,500;50
19:38:09,531;49
19:38:09,562;48
19:38:09,594;48
19:38:09,625;47
19:38:09,656;47
19:38:09,688;46
19:38:09,719;46
19:38:09,750;46
19:38:09,781;47
19:38:09,812;47
19:38:09,844;47
19:38:09,875;48
19:38:09,906;48
19:38:09,938;49
19:38:09,969;49
19:38:10,000;49
19:38:10,031;49
19:38:10,062;49
19:38:10,094;48
19:38:10,125;47
19:38:10,156;46
19:38:10,187;45
19:38:10,219;43
19:38:10,250;41
19:38:10,281;39
19:38:10,312;37
19:38:10,344;34
19:38:10,375;31
19:38:10,406;28
19:38:10,437;24
19:38:10,469;20
19:38:10,500;16
19:38:10,531;12
19:38:10,562;7
19:38:10,594;2
19:38:10,625;-4
19:38:10,656;-10
19:38:10,687;-16
19:38:10,719;-23
19:38:10,750;-30
19:38:10,781;-38
19:38:10,812;-46
19:38:10,844;-54
19:38:10,875;-63
19:38:10,906;-72
19:38:10,937;-81
19:38:10,969;-91
19:38:11,000;-100
19:38:11,031;-109
19:38:11,062;-118
19:38:11,094;-127
19:38:11,125;-136
19:38:11,156;-144
19:38:11,188;-151
19:38:11,219;-158
19:38:11,250;-164
19:38:11,281;-169
19:38:11,312;-174
19:38:11,344;-177
19:38:11,375;-180
19:38:11,406;-182
19:38:11,438;-183
19:38:11,469;-183
19:38:11,500;-183
19:38:11,531;-181
19:38:11,562;-179
19:38:11,594;-177
19:38:11,625;-173
19:38:11,656;-169
19:38:11,688;-165
19:38:11,719;-159
19:38:11,750;-154
19:38:11,781;-148
19:38:11,812;-141
19:38:11,844;-134
19:38:11,875;-126
19:38:11,906;-118
19:38:11,937;-110
19:38:11,969;-101
19:38:12,000;-92
19:38:12,031;-82
19:38:12,062;-72
19:38:12,094;-61
19:38:12,125;-50
19:38:12,156;-39
19:38:12,187;-28
19:38:12,219;-16
19:38:12,250;-4
19:38:12,281;7
19:38:12,312;19
19:38:12,344;30
19:38:12,375;42
19:38:12,406;53
19:38:12,437;63
19:38:12,469;74
19:38:12,500;83
19:38:12,531;93
19:38:12,562;102
19:38:12,594;110
19:38:12,625;119
19:38:12,656;126
19:38:12,688;133
19:38:12,719;140
19:38:12,750;146
19:38:12,781;152
19:38:12,812;157
19:38:12,844;162
19:38:12,875;167
19:38:12,906;171
19:38:12,938;174
19:38:12,969;177
19:38:13,000;180
19:38:13,031;181
19:38:13,062;182
19:38:13,094;182
19:38:13,125;181
19:38:13,156;179
19:38:13,188;176
19:38:13,219;172
19:38:13,250;167
19:38:13,281;161
19:38:13,312;154
19:38:13,344;146
19:38:13,375;136
19:38:13,406;127
19:38:13,437;116
19:38:13,469;105
19:38:13,500;94
19:38:13,531;82
19:38:13,562;70
19:38:13,594;59
19:38:13,625;47
19:38:13,656;36
19:38:13,687;26
19:38:13,719;16
19:38:13,750;7
19:38:13,781;-1
19:38:13,812;-9
19:38:13,844;-16
19:38:13,875;-22
19:38:13,906;-27
19:38:13,937;-32
19:38:13,969;-36
19:38:14,000;-39
19:38:14,031;-42
19:38:14,062;-45
19:38:14,094;-48
19:38:14,125;-50
19:38:14,156;-53
19:38:14,187;-55
19:38:14,219;-58
19:38:14,250;-61
19:38:14,281;-64
19:38:14,312;-67
19:38:14,344;-71
19:38:14,375;-74
19:38:14,406;-78
19:38:14,438;-81
19:38:14,469;-84
19:38:14,500;-87
19:38:14,531;-89
19:38:14,562;-92
19:38:14,594;-93
19:38:14,625;-94
19:38:14,656;-95
19:38:14,688;-94
19:38:14,719;-93
19:38:14,750;-92
19:38:14,781;-89
19:38:14,812;-86
19:38:14,844;-83
19:38:14,875;-79
19:38:14,906;-74
19:38:14,937;-69
19:38:14,969;-64
19:38:15,000;-59
19:38:15,031;-53
19:38:15,062;-47
19:38:15,094;-42
19:38:15,125;-36
19:38:15,156;-31
19:38:15,187;-26
19:38:15,219;-21
19:38:15,250;-17
19:38:15,281;-12
19:38:15,312;-8
19:38:15,344;-4
19:38:15,375;-1
19:38:15,406;2
19:38:15,437;6
19:38:15,469;9
19:38:15,500;12
19:38:15,531;14
19:38:15,562;17
19:38:15,594;20
19:38:15,625;23
19:38:15,656;25
19:38:15,687;28
19:38:15,719;31
19:38:15,750;34
19:38:15,781;36
19:38:15,812;39
19:38:15,844;42
19:38:15,875;44
19:38:15,906;47
19:38:15,938;49
19:38:15,969;51
19:38:16,000;53
19:38:16,031;55
19:38:16,062;56
19:38:16,094;57
19:38:16,125;58
19:38:16,156;58
19:38:16,188;58
19:38:16,219;58
19:38:16,250;58
19:38:16,281;57
19:38:16,312;56
19:38:16,344;56
19:38:16,375;55
19:38:16,406;54
19:38:16,438;53
19:38:16,469;52
19:38:16,500;51
19:38:16,531;50
19:38:16,562;50
19:38:16,594;49
19:38:16,625;49
19:38:16,656;49
19:38:16,687;49
19:38:16,719;50
19:38:16,750;50
19:38:16,781;51
19:38:16,812;52
19:38:16,844;52
19:38:16,875;53
19:38:16,906;53
19:38:16,937;54
19:38:16,969;54
19:38:17,000;54
19:38:17,031;54
19:38:17,062;54
19:38:17,094;53
19:38:17,125;52
19:38:17,156;51
19:38:17,187;49
19:38:17,219;48
19:38:17,250;46
19:38:17,281;44
19:38:17,312;42
19:38:17,344;40
19:38:17,375;38
19:38:17,406;36
19:38:17,438;34
19:38:17,469;32
19:38:17,500;30
19:38:17,531;29
19:38:17,562;27
19:38:17,594;26
19:38:17,625;26
19:38:17,656;25
19:38:17,688;24
19:38:17,719;24
19:38:17,750;24
19:38:17,781;24
19:38:17,812;24
19:38:17,844;24
19:38:17,875;24
19:38:17,906;24
19:38:17,938;24
19:38:17,969;24
19:38:18,000;24
19:38:18,031;24
19:38:18,062;23
19:38:18,094;23
19:38:18,125;22
19:38:18,156;21
19:38:18,187;21
19:38:18,219;20
19:38:18,250;19
19:38:18,281;18
19:38:18,312;17
19:38:18,344;16
19:38:18,375;16
19:38:18,406;15
19:38:18,437;14
19:38:18,469;13
19:38:18,500;12
19:38:18,531;11
19:38:18,562;9
19:38:18,594;8
19:38:18,625;6
19:38:18,656;3
19:38:18,687;0
19:38:18,719;-3
19:38:18,750;-7
19:38:18,781;-12
19:38:18,812;-17
19:38:18,844;-24
19:38:18,875;-31
19:38:18,906;-39
19:38:18,937;-48
19:38:18,969;-57
19:38:19,000;-68
19:38:19,031;-80
19:38:19,062;-92
19:38:19,094;-105
19:38:19,125;-119
19:38:19,156;-133
19:38:19,188;-147
19:38:19,219;-162
19:38:19,250;-178
19:38:19,281;-193
19:38:19,312;-208
19:38:19,344;-223
19:38:19,375;-238
19:38:19,406;-252
19:38:19,438;-266
19:38:19,469;-279
19:38:19,500;-292
19:38:19,531;-303
19:38:19,562;-314
19:38:19,594;-323
19:38:19,625;-331
19:38:19,656;-338
19:38:19,688;-344
19:38:19,719;-349
19:38:19,750;-353
19:38:19,781;-355
19:38:19,812;-356
19:38:19,844;-356
19:38:19,875;-354
19:38:19,906;-352
19:38:19,937;-349
19:38:19,969;-344
19:38:20,000;-339
19:38:20,031;-333
19:38:20,062;-326
19:38:20,094;-319
19:38:20,125;-310
19:38:20,156;-302
19:38:20,187;-292
19:38:20,219;-282
19:38:20,250;-272
19:38:20,281;-261
19:38:20,312;-250
19:38:20,344;-238
19:38:20,375;-226
19:38:20,406;-214
19:38:20,437;-202
19:38:20,469;-189
19:38:20,500;-175
19:38:20,531;-162
19:38:20,562;-148
19:38:20,594;-134
19:38:20,625;-120
19:38:20,656;-106
19:38:20,688;-91
19:38:20,719;-77
19:38:20,750;-62
19:38:20,781;-48
19:38:20,812;-34
19:38:20,844;-20
19:38:20,875;-6
19:38:20,906;7
19:38:20,938;20
19:38:20,969;33
19:38:21,000;45
19:38:21,031;56
19:38:21,062;68
19:38:21,094;78
19:38:21,125;88
19:38:21,156;98
19:38:21,188;107
19:38:21,219;115
19:38:21,250;123
19:38:21,281;130
19:38:21,312;137
19:38:21,344;143
19:38:21,375;149
19:38:21,406;154
19:38:21,437;159
19:38:21,469;162
19:38:21,500;166
19:38:21,531;168
19:38:21,562;170
19:38:21,594;171
19:38:21,625;171
19:38:21,656;171
19:38:21,687;169
19:38:21,719;167
19:38:21,750;164
19:38:21,781;160
19:38:21,812;155
19:38:21,844;150
19:38:21,875;143
19:38:21,906;137
19:38:21,937;129
19:38:21,969;122
19:38:22,000;114
19:38:22,031;105
19:38:22,062;97
19:38:22,094;89
19:38:22,125;81
19:38:22,156;74
19:38:22,188;67
19:38:22,219;60
19:38:22,250;54
19:38:22,281;49
19:38:22,312;44
19:38:22,344;40
19:38:22,375;36
19:38:22,406;34
19:38:22,438;31
19:38:22,469;29
19:38:22,500;28
19:38:22,531;27
19:38:22,562;25
19:38:22,594;24
19:38:22,625;23
19:38:22,656;22
19:38:22,688;21
19:38:22,719;20
19:38:22,750;18
19:38:22,781;16
19:38:22,812;14
19:38:22,844;11
19:38:22,875;9
19:38:22,906;6
19:38:22,937;3
19:38:22,969;0
19:38:23,000;-3
19:38:23,031;-6
19:38:23,062;-8
19:38:23,094;-11
19:38:23,125;-12
19:38:23,156;-14
19:38:23,187;-15
19:38:23,219;-15
19:38:23,250;-14
19:38:23,281;-13
19:38:23,312;-12
19:38:23,344;-10
19:38:23,375;-7
19:38:23,406;-4
19:38:23,437;0
19:38:23,469;4
19:38:23,500;8
19:38:23,531;13
19:38:23,562;17
19:38:23,594;22
19:38:23,625;26
19:38:23,656;31
19:38:23,687;35
19:38:23,719;39
19:38:23,750;42
19:38:23,781;46
19:38:23,812;49
19:38:23,844;51
19:38:23,875;54
19:38:23,906;56
19:38:23,938;58
19:38:23,969;60
19:38:24,000;61
19:38:24,031;63
19:38:24,062;64
19:38:24,094;66
19:38:24,125;67
19:38:24,156;69
19:38:24,188;70
19:38:24,219;72
19:38:24,250;74
19:38:24,281;76
19:38:24,312;78
19:38:24,344;80
19:38:24,375;82
19:38:24,406;84
19:38:24,438;86
19:38:24,469;87
19:38:24,500;89
19:38:24,531;91
19:38:24,562;92
19:38:24,594;93
19:38:24,625;93
19:38:24,656;94
19:38:24,687;94
19:38:24,719;94
19:38:24,750;93
19:38:24,781;92
19:38:24,812;91
19:38:24,844;90
19:38:24,875;88
19:38:24,906;87
19:38:24,937;85
19:38:24,969;84
19:38:25,000;82
19:38:25,031;81
19:38:25,062;79
19:38:25,094;78
19:38:25,125;77
19:38:25,156;76
19:38:25,187;75
19:38:25,219;75
19:38:25,250;74
19:38:25,281;74
19:38:25,312;74
19:38:25,344;74
19:38:25,375;74
19:38:25,406;74
19:38:25,438;74
19:38:25,469;74
19:38:25,500;74
19:38:25,531;73
19:38:25,562;73
19:38:25,594;72
19:38:25,625;71
19:38:25,656;71
19:38:25,688;70
19:38:25,719;68
19:38:25,750;67
19:38:25,781;66
19:38:25,812;65
19:38:25,844;63
19:38:25,875;62
19:38:25,906;61
19:38:25,938;60
19:38:25,969;59
19:38:26,000;58
19:38:26,031;57
19:38:26,062;56
19:38:26,094;55
19:38:26,125;55
19:38:26,156;54
19:38:26,187;54
19:38:26,219;53
19:38:26,250;53
19:38:26,281;52
19:38:26,312;51
19:38:26,344;50
19:38:26,375;49
19:38:26,406;48
19:38:26,437;46
19:38:26,469;45
19:38:26,500;43
19:38:26,531;41
19:38:26,562;39
19:38:26,594;36
19:38:26,625;34
19:38:26,656;31
19:38:26,687;28
19:38:26,719;25
19:38:26,750;21
19:38:26,781;18
19:38:26,812;14
19:38:26,844;10
19:38:26,875;6
19:38:26,906;2
19:38:26,937;-3
19:38:26,969;-7
19:38:27,000;-12
19:38:27,031;-17
19:38:27,062;-22
19:38:27,094;-28
19:38:27,125;-33
19:38:27,156;-39
19:38:27,188;-45
19:38:27,219;-51
19:38:27,250;-56
19:38:27,281;-62
19:38:27,312;-68
19:38:27,344;-73
19:38:27,375;-79
19:38:27,406;-83
19:38:27,438;-88
19:38:27,469;-92
19:38:27,500;-95
19:38:27,531;-98
19:38:27,562;-101
19:38:27,594;-103
19:38:27,625;-104
19:38:27,656;-104
19:38:27,687;-104
19:38:27,719;-103
19:38:27,750;-102
19:38:27,781;-100
19:38:27,812;-97
19:38:27,844;-94
19:38:27,875;-91
19:38:27,906;-87
19:38:27,937;-83
19:38:27,969;-79
19:38:28,000;-75
19:38:28,031;-70
19:38:28,062;-66
19:38:28,094;-61
19:38:28,125;-56
19:38:28,156;-51
19:38:28,187;-46
19:38:28,219;-42
19:38:28,250;-37
19:38:28,281;-32
19:38:28,312;-27
19:38:28,344;-22
19:38:28,375;-18
19:38:28,406;-13
19:38:28,437;-8
19:38:28,469;-3
19:38:28,500;1
19:38:28,531;6
19:38:28,562;11
19:38:28,594;15
19:38:28,625;20
19:38:28,656;25
19:38:28,688;30
19:38:28,719;35
19:38:28,750;39
19:38:28,781;44
19:38:28,812;49
19:38:28,844;54
19:38:28,875;60
19:38:28,906;65
19:38:28,938;71
19:38:28,969;77
19:38:29,000;83
19:38:29,031;89
19:38:29,062;95
19:38:29,094;102
19:38:29,125;109
19:38:29,156;115
19:38:29,188;122
19:38:29,219;128
19:38:29,250;135
19:38:29,281;140
19:38:29,312;146
19:38:29,344;151
19:38:29,375;155
19:38:29,406;158
19:38:29,437;161
19:38:29,469;163
19:38:29,500;163
19:38:29,531;163
19:38:29,562;161
19:38:29,594;159
19:38:29,625;155
19:38:29,656;151
19:38:29,687;145
19:38:29,719;139
19:38:29,750;131
19:38:29,781;124
19:38:29,812;115
19:38:29,844;107
19:38:29,875;98
19:38:29,906;89
19:38:29,937;80
19:38:29,969;71
19:38:30,000;63
19:38:30,031;55
19:38:30,062;47
19:38:30,094;40
19:38:30,125;33
19:38:30,156;27
19:38:30,188;21
19:38:30,219;15
19:38:30,250;10
19:38:30,281;6
19:38:30,312;1
19:38:30,344;-3
19:38:30,375;-7
19:38:30,406;-11
19:38:30,438;-15
19:38:30,469;-19
19:38:30,500;-24
19:38:30,531;-28
19:38:30,562;-32
19:38:30,594;-36
19:38:30,625;-40
19:38:30,656;-45
19:38:30,688;-49
19:38:30,719;-53
19:38:30,750;-57
19:38:30,781;-60
19:38:30,812;-63
19:38:30,844;-66
19:38:30,875;-69
19:38:30,906;-71
19:38:30,937;-72
19:38:30,969;-73
19:38:31,000;-74
19:38:31,031;-74
19:38:31,062;-73
19:38:31,094;-72
19:38:31,125;-71
19:38:31,156;-69
19:38:31,187;-67
19:38:31,219;-65
19:38:31,250;-63
19:38:31,281;-61
19:38:31,312;-58
19:38:31,344;-56
19:38:31,375;-54
19:38:31,406;-51
19:38:31,437;-49
19:38:31,469;-47
19:38:31,500;-46
19:38:31,531;-44
19:38:31,562;-43
19:38:31,594;-41
19:38:31,625;-40
19:38:31,656;-39
19:38:31,687;-37
19:38:31,719;-36
19:38:31,750;-35
19:38:31,781;-33
19:38:31,812;-31
19:38:31,844;-29
19:38:31,875;-27
19:38:31,906;-25
19:38:31,938;-22
19:38:31,969;-19
19:38:32,000;-16
19:38:32,031;-13
19:38:32,062;-9
19:38:32,094;-5
19:38:32,125;-1
19:38:32,156;3
19:38:32,188;8
19:38:32,219;12
19:38:32,250;16
19:38:32,281;21
19:38:32,312;25
19:38:32,344;29
19:38:32,375;33
19:38:32,406;37
19:38:32,438;40
19:38:32,469;43
19:38:32,500;46
19:38:32,531;49
19:38:32,562;52
19:38:32,594;54
19:38:32,625;56
19:38:32,656;58
19:38:32,687;60
19:38:32,719;62
19:38:32,750;63
19:38:32,781;64
19:38:32,812;66
19:38:32,844;67
19:38:32,875;68
19:38:32,906;69
19:38:32,937;70
19:38:32,969;71
19:38:33,000;72
19:38:33,031;73
19:38:33,062;74
19:38:33,094;74
19:38:33,125;75
19:38:33,156;76
19:38:33,187;76
19:38:33,219;77
19:38:33,250;77
19:38:33,281;77
19:38:33,312;77
19:38:33,344;77
19:38:33,375;77
19:38:33,406;77
19:38:33,438;76
19:38:33,469;75
19:38:33,500;74
19:38:33,531;73
19:38:33,562;72
19:38:33,594;70
19:38:33,625;68
19:38:33,656;65
19:38:33,688;62
19:38:33,719;59
19:38:33,750;55
19:38:33,781;51
19:38:33,812;46
19:38:33,844;41
19:38:33,875;35
19:38:33,906;29
19:38:33,938;22
19:38:33,969;14
19:38:34,000;7
19:38:34,031;-2
19:38:34,062;-10
19:38:34,094;-19
19:38:34,125;-28
19:38:34,156;-37
19:38:34,187;-45
19:38:34,219;-54
19:38:34,250;-63
19:38:34,281;-71
19:38:34,312;-79
19:38:34,344;-86
19:38:34,375;-93
19:38:34,406;-99
19:38:34,437;-105
19:38:34,469;-109
19:38:34,500;-113
19:38:34,531;-116
19:38:34,562;-119
19:38:34,594;-120
19:38:34,625;-121
19:38:34,656;-121
19:38:34,687;-121
19:38:34,719;-120
19:38:34,750;-118
19:38:34,781;-116
19:38:34,812;-114
19:38:34,844;-111
19:38:34,875;-108
19:38:34,906;-104
19:38:34,938;-101
19:38:34,969;-97
19:38:35,000;-93
19:38:35,031;-89
19:38:35,062;-86
19:38:35,094;-82
19:38:35,125;-78
19:38:35,156;-74
19:38:35,188;-70
19:38:35,219;-66
19:38:35,250;-62
19:38:35,281;-58
19:38:35,312;-54
19:38:35,344;-50
19:38:35,375;-46
19:38:35,406;-41
19:38:35,438;-37
19:38:35,469;-32
19:38:35,500;-27
19:38:35,531;-22
19:38:35,562;-17
19:38:35,594;-11
19:38:35,625;-5
19:38:35,656;2
19:38:35,687;9
19:38:35,719;16
19:38:35,750;24
19:38:35,781;32
19:38:35,812;41
19:38:35,844;50
19:38:35,875;59
19:38:35,906;68
19:38:35,937;77
19:38:35,969;87
19:38:36,000;96
19:38:36,031;105
19:38:36,062;114
19:38:36,094;122
19:38:36,125;130
19:38:36,156;137
19:38:36,187;143
19:38:36,219;149
19:38:36,250;153
19:38:36,281;157
19:38:36,312;159
19:38:36,344;161
19:38:36,375;161
19:38:36,406;160
19:38:36,437;158
19:38:36,469;156
19:38:36,500;152
19:38:36,531;147
19:38:36,562;142
19:38:36,594;136
19:38:36,625;129
19:38:36,656;122
19:38:36,688;115
19:38:36,719;108
19:38:36,750;100
19:38:36,781;92
19:38:36,812;85
19:38:36,844;77
19:38:36,875;70
19:38:36,906;62
19:38:36,938;55
19:38:36,969;48
19:38:37,000;42
19:38:37,031;35
19:38:37,062;29
19:38:37,094;23
19:38:37,125;17
19:38:37,156;11
19:38:37,188;6
19:38:37,219;1
19:38:37,250;-4
19:38:37,281;-9
19:38:37,312;-14
19:38:37,344;-18
19:38:37,375;-22
19:38:37,406;-26
19:38:37,437;-29
19:38:37,469;-32
19:38:37,500;-34
19:38:37,531;-36
19:38:37,562;-38
19:38:37,594;-39
19:38:37,625;-39
19:38:37,656;-40
19:38:37,687;-39
19:38:37,719;-39
19:38:37,750;-38
19:38:37,781;-36
19:38:37,812;-35
19:38:37,844;-33
19:38:37,875;-31
19:38:37,906;-30
19:38:37,937;-28
19:38:37,969;-26
19:38:38,000;-24
19:38:38,031;-23
19:38:38,062;-21
19:38:38,094;-20
19:38:38,125;-19
19:38:38,156;-18
19:38:38,188;-17
19:38:38,219;-16
19:38:38,250;-15
19:38:38,281;-14
19:38:38,312;-13
19:38:38,344;-12
19:38:38,375;-11
19:38:38,406;-9
19:38:38,438;-7
19:38:38,469;-5
19:38:38,500;-3
19:38:38,531;0
19:38:38,562;3
19:38:38,594;7
19:38:38,625;11
19:38:38,656;15
19:38:38,688;19
19:38:38,719;23
19:38:38,750;28
19:38:38,781;32
19:38:38,812;37
19:38:38,844;41
19:38:38,875;45
19:38:38,906;49
19:38:38,937;52
19:38:38,969;55
19:38:39,000;58
19:38:39,031;60
19:38:39,062;62
19:38:39,094;63
19:38:39,125;64
19:38:39,156;65
19:38:39,187;65
19:38:39,219;65
19:38:39,250;64
19:38:39,281;63
19:38:39,312;62
19:38:39,344;61
19:38:39,375;60
19:38:39,406;59
19:38:39,437;58
19:38:39,469;57
19:38:39,500;56
19:38:39,531;56
19:38:39,562;55
19:38:39,594;55
19:38:39,625;55
19:38:39,656;55
19:38:39,687;56
19:38:39,719;56
19:38:39,750;57
19:38:39,781;57
19:38:39,812;58
19:38:39,844;58
19:38:39,875;58
19:38:39,906;57
19:38:39,938;56
19:38:39,969;55
19:38:40,000;53
19:38:40,031;50
19:38:40,062;47
19:38:40,094;43
19:38:40,125;39
19:38:40,156;34
19:38:40,188;28
19:38:40,219;22
19:38:40,250;15
19:38:40,281;8
19:38:40,312;1
19:38:40,344;-6
19:38:40,375;-14
19:38:40,406;-22
19:38:40,437;-30
19:38:40,469;-37
19:38:40,500;-45
19:38:40,531;-52
19:38:40,562;-59
19:38:40,594;-65
19:38:40,625;-71
19:38:40,656;-77
19:38:40,687;-82
19:38:40,719;-86
19:38:40,750;-90
19:38:40,781;-93
19:38:40,812;-95
19:38:40,844;-97
19:38:40,875;-98
19:38:40,906;-98
19:38:40,937;-98
19:38:40,969;-97
19:38:41,000;-96
19:38:41,031;-94
19:38:41,062;-92
19:38:41,094;-89
19:38:41,125;-86
19:38:41,156;-82
19:38:41,187;-79
19:38:41,219;-75
19:38:41,250;-71
19:38:41,281;-67
19:38:41,312;-62
19:38:41,344;-58
19:38:41,375;-54
19:38:41,406;-50
19:38:41,438;-46
19:38:41,469;-42
19:38:41,500;-39
19:38:41,531;-35
19:38:41,562;-32
19:38:41,594;-29
19:38:41,625;-26
19:38:41,656;-24
19:38:41,688;-21
19:38:41,719;-19
19:38:41,750;-17
19:38:41,781;-15
19:38:41,812;-13
19:38:41,844;-11
19:38:41,875;-9
19:38:41,906;-7
19:38:41,938;-5
19:38:41,969;-3
19:38:42,000;-1
19:38:42,031;2
19:38:42,062;5
19:38:42,094;8
19:38:42,125;12
19:38:42,156;16
19:38:42,187;20
19:38:42,219;25
19:38:42,250;31
19:38:42,281;36
19:38:42,312;42
19:38:42,344;49
19:38:42,375;56
19:38:42,406;63
19:38:42,437;70
19:38:42,469;78
19:38:42,500;85
19:38:42,531;92
19:38:42,562;99
19:38:42,594;106
19:38:42,625;112
19:38:42,656;118
19:38:42,687;122
19:38:42,719;126
19:38:42,750;129
19:38:42,781;131
19:38:42,812;132
19:38:42,844;132
19:38:42,875;130
19:38:42,906;127
19:38:42,938;123
19:38:42,969;118
19:38:43,000;111
19:38:43,031;104
19:38:43,062;96
19:38:43,094;86
19:38:43,125;77
19:38:43,156;66
19:38:43,188;56
19:38:43,219;45
19:38:43,250;34
19:38:43,281;24
19:38:43,312;14
19:38:43,344;4
19:38:43,375;-5
19:38:43,406;-14
19:38:43,438;-21
19:38:43,469;-28
19:38:43,500;-34
19:38:43,531;-40
19:38:43,562;-44
19:38:43,594;-48
19:38:43,625;-51
19:38:43,656;-53
19:38:43,687;-54
19:38:43,719;-56
19:38:43,750;-56
19:38:43,781;-57
19:38:43,812;-57
19:38:43,844;-57
19:38:43,875;-56
19:38:43,906;-56
19:38:43,937;-55
19:38:43,969;-55
19:38:44,000;-54
19:38:44,031;-54
19:38:44,062;-53
19:38:44,094;-52
19:38:44,125;-51
19:38:44,156;-49
19:38:44,187;-48
19:38:44,219;-46
19:38:44,250;-44
19:38:44,281;-42
19:38:44,312;-39
19:38:44,344;-36
19:38:44,375;-33
19:38:44,406;-29
19:38:44,437;-25
19:38:44,469;-22
19:38:44,500;-18
19:38:44,531;-14
19:38:44,562;-9
19:38:44,594;-5
19:38:44,625;-2
19:38:44,656;2
19:38:44,688;6
19:38:44,719;9
19:38:44,750;12
19:38:44,781;15
19:38:44,812;17
19:38:44,844;20
19:38:44,875;22
19:38:44,906;23
19:38:44,938;25
19:38:44,969;27
19:38:45,000;28
19:38:45,031;30
19:38:45,062;31
19:38:45,094;33
19:38:45,125;35
19:38:45,156;37
19:38:45,187;39
19:38:45,219;42
19:38:45,250;44
19:38:45,281;47
19:38:45,312;50
19:38:45,344;53
19:38:45,375;56
19:38:45,406;60
19:38:45,437;63
19:38:45,469;66
19:38:45,500;69
19:38:45,531;72
19:38:45,562;74
19:38:45,594;77
19:38:45,625;79
19:38:45,656;80
19:38:45,687;81
19:38:45,719;82
19:38:45,750;83
19:38:45,781;83
19:38:45,812;82
19:38:45,844;82
19:38:45,875;81
19:38:45,906;80
19:38:45,937;79
19:38:45,969;78
19:38:46,000;76
19:38:46,031;75
19:38:46,062;74
19:38:46,094;74
19:38:46,125;73
19:38:46,156;73
19:38:46,188;72
19:38:46,219;73
19:38:46,250;73
19:38:46,281;74
19:38:46,312;74
19:38:46,344;76
19:38:46,375;77
19:38:46,406;78
19:38:46,438;79
19:38:46,469;80
19:38:46,500;82
19:38:46,531;83
19:38:46,562;83
19:38:46,594;84
19:38:46,625;84
19:38:46,656;84
19:38:46,688;83
19:38:46,719;82
19:38:46,750;81
19:38:46,781;79
19:38:46,812;77
19:38:46,844;75
19:38:46,875;72
19:38:46,906;69
19:38:46,937;66
19:38:46,969;63
19:38:47,000;59
19:38:47,031;55
19:38:47,062;51
19:38:47,094;47
19:38:47,125;42
19:38:47,156;38
19:38:47,187;33
19:38:47,219;28
19:38:47,250;23
19:38:47,281;18
19:38:47,312;13
19:38:47,344;7
19:38:47,375;1
19:38:47,406;-5
19:38:47,437;-12
19:38:47,469;-19
19:38:47,500;-26
19:38:47,531;-33
19:38:47,562;-41
19:38:47,594;-49
19:38:47,625;-57
19:38:47,656;-64
19:38:47,688;-72
19:38:47,719;-80
19:38:47,750;-87
19:38:47,781;-94
19:38:47,812;-101
19:38:47,844;-107
19:38:47,875;-112
19:38:47,906;-117
19:38:47,938;-121
19:38:47,969;-124
19:38:48,000;-127
19:38:48,031;-128
19:38:48,062;-129
19:38:48,094;-129
19:38:48,125;-128
19:38:48,156;-127
19:38:48,188;-125
19:38:48,219;-122
19:38:48,250;-118
19:38:48,281;-114
19:38:48,312;-110
19:38:48,344;-105
19:38:48,375;-100
19:38:48,406;-95
19:38:48,437;-90
19:38:48,469;-84
19:38:48,500;-79
19:38:48,531;-73
19:38:48,562;-68
19:38:48,594;-62
19:38:48,625;-57
19:38:48,656;-51
19:38:48,687;-46
